10	/N + 1 EM	ISSIVITY	COEFFTS./				
5680.9	A  24  35	/FILMEM	= #7_ls#n	1/TYPE =	EXCIT	/INDM = T	/ISEL =    1
1.00E+06	2.46E+06	6.06E+06	1.49E+07	3.67E+07	9.05E+07	2.23E+08	5.48E+08
1.35E+09	3.32E+09	8.19E+09	2.02E+10	4.96E+10	1.22E+11	3.01E+11	7.41E+11
1.82E+12	4.49E+12	1.11E+13	2.72E+13	6.70E+13	1.65E+14	4.06E+14	1.00E+15
1.00E-01	1.40E-01	1.97E-01	2.76E-01	3.87E-01	5.44E-01	7.63E-01	1.07E+00
1.50E+00	2.11E+00	2.96E+00	4.15E+00	5.82E+00	8.16E+00	1.15E+01	1.61E+01
2.25E+01	3.16E+01	4.44E+01	6.22E+01	8.73E+01	1.23E+02	1.72E+02	2.41E+02
3.38E+02	4.75E+02	6.66E+02	9.35E+02	1.31E+03	1.84E+03	2.58E+03	3.62E+03
5.08E+03	7.13E+03	1.00E+04					
1.00E-74	1.00E-74	1.00E-74	6.17E-41	1.09E-31	4.03E-25	1.79E-20	3.41E-17
6.89E-15	2.86E-13	3.86E-12	2.34E-11	7.97E-11	1.79E-10	2.98E-10	4.00E-10
4.60E-10	4.77E-10	4.62E-10	4.30E-10	3.89E-10	3.47E-10	3.07E-10	2.71E-10
2.38E-10	2.09E-10	1.84E-10	1.61E-10	1.42E-10	1.25E-10	1.10E-10	9.71E-11
8.60E-11	7.64E-11	6.82E-11					
1.00E-74	1.00E-74	1.00E-74	6.36E-41	1.13E-31	4.15E-25	1.85E-20	3.50E-17
7.07E-15	2.93E-13	3.94E-12	2.38E-11	8.08E-11	1.81E-10	3.01E-10	4.03E-10
4.62E-10	4.78E-10	4.62E-10	4.29E-10	3.89E-10	3.47E-10	3.07E-10	2.70E-10
2.38E-10	2.09E-10	1.84E-10	1.61E-10	1.42E-10	1.24E-10	1.10E-10	9.69E-11
8.58E-11	7.63E-11	6.80E-11					
1.00E-74	1.00E-74	1.00E-74	6.62E-41	1.17E-31	4.30E-25	1.91E-20	3.61E-17
7.26E-15	3.00E-13	4.02E-12	2.42E-11	8.19E-11	1.83E-10	3.04E-10	4.06E-10
4.64E-10	4.79E-10	4.63E-10	4.30E-10	3.89E-10	3.47E-10	3.06E-10	2.70E-10
2.38E-10	2.09E-10	1.83E-10	1.61E-10	1.41E-10	1.24E-10	1.10E-10	9.68E-11
8.58E-11	7.62E-11	6.79E-11					
1.00E-74	1.00E-74	1.00E-74	6.91E-41	1.22E-31	4.49E-25	1.99E-20	3.75E-17
7.52E-15	3.09E-13	4.12E-12	2.47E-11	8.34E-11	1.86E-10	3.07E-10	4.09E-10
4.67E-10	4.81E-10	4.64E-10	4.30E-10	3.89E-10	3.47E-10	3.06E-10	2.70E-10
2.38E-10	2.09E-10	1.83E-10	1.61E-10	1.41E-10	1.24E-10	1.10E-10	9.68E-11
8.57E-11	7.62E-11	6.79E-11					
1.00E-74	1.00E-74	1.00E-74	7.14E-41	1.27E-31	4.66E-25	2.07E-20	3.90E-17
7.81E-15	3.20E-13	4.26E-12	2.54E-11	8.51E-11	1.89E-10	3.11E-10	4.13E-10
4.70E-10	4.84E-10	4.66E-10	4.31E-10	3.89E-10	3.47E-10	3.06E-10	2.70E-10
2.38E-10	2.09E-10	1.83E-10	1.61E-10	1.41E-10	1.24E-10	1.10E-10	9.68E-11
8.57E-11	7.61E-11	6.79E-11					
1.00E-74	1.00E-74	1.00E-74	7.28E-41	1.29E-31	4.77E-25	2.12E-20	4.01E-17
8.05E-15	3.30E-13	4.37E-12	2.60E-11	8.68E-11	1.92E-10	3.15E-10	4.16E-10
4.73E-10	4.85E-10	4.67E-10	4.31E-10	3.90E-10	3.47E-10	3.07E-10	2.70E-10
2.38E-10	2.09E-10	1.83E-10	1.61E-10	1.41E-10	1.24E-10	1.10E-10	9.67E-11
8.57E-11	7.61E-11	6.78E-11					
1.00E-74	1.00E-74	1.00E-74	7.35E-41	1.31E-31	4.83E-25	2.15E-20	4.08E-17
8.19E-15	3.35E-13	4.44E-12	2.63E-11	8.78E-11	1.94E-10	3.17E-10	4.18E-10
4.74E-10	4.86E-10	4.67E-10	4.32E-10	3.90E-10	3.47E-10	3.07E-10	2.70E-10
2.38E-10	2.09E-10	1.83E-10	1.61E-10	1.41E-10	1.24E-10	1.10E-10	9.67E-11
8.57E-11	7.61E-11	6.78E-11					
1.00E-74	1.00E-74	1.00E-74	7.38E-41	1.31E-31	4.86E-25	2.17E-20	4.11E-17
8.25E-15	3.38E-13	4.48E-12	2.65E-11	8.82E-11	1.94E-10	3.17E-10	4.18E-10
4.74E-10	4.86E-10	4.67E-10	4.32E-10	3.90E-10	3.47E-10	3.06E-10	2.70E-10
2.38E-10	2.09E-10	1.83E-10	1.61E-10	1.41E-10	1.24E-10	1.10E-10	9.67E-11
8.57E-11	7.61E-11	6.78E-11					
1.00E-74	1.00E-74	1.00E-74	7.39E-41	1.32E-31	4.87E-25	2.17E-20	4.12E-17
8.28E-15	3.39E-13	4.49E-12	2.66E-11	8.83E-11	1.94E-10	3.17E-10	4.18E-10
4.74E-10	4.85E-10	4.66E-10	4.31E-10	3.89E-10	3.47E-10	3.06E-10	2.70E-10
2.37E-10	2.09E-10	1.83E-10	1.61E-10	1.41E-10	1.24E-10	1.09E-10	9.67E-11
8.57E-11	7.61E-11	6.78E-11					
1.00E-74	1.00E-74	1.00E-74	7.40E-41	1.32E-31	4.88E-25	2.18E-20	4.13E-17
8.29E-15	3.39E-13	4.48E-12	2.65E-11	8.79E-11	1.93E-10	3.15E-10	4.16E-10
4.71E-10	4.83E-10	4.65E-10	4.30E-10	3.89E-10	3.46E-10	3.06E-10	2.70E-10
2.37E-10	2.09E-10	1.83E-10	1.61E-10	1.41E-10	1.24E-10	1.09E-10	9.67E-11
8.57E-11	7.61E-11	6.78E-11					
1.00E-74	1.00E-74	1.00E-74	7.40E-41	1.32E-31	4.88E-25	2.18E-20	4.13E-17
8.28E-15	3.38E-13	4.46E-12	2.63E-11	8.71E-11	1.91E-10	3.12E-10	4.11E-10
4.67E-10	4.80E-10	4.62E-10	4.28E-10	3.87E-10	3.46E-10	3.06E-10	2.70E-10
2.37E-10	2.09E-10	1.83E-10	1.61E-10	1.41E-10	1.24E-10	1.09E-10	9.67E-11
8.57E-11	7.61E-11	6.78E-11					
1.00E-74	1.00E-74	1.00E-74	7.41E-41	1.32E-31	4.88E-25	2.18E-20	4.13E-17
8.27E-15	3.37E-13	4.42E-12	2.60E-11	8.59E-11	1.88E-10	3.07E-10	4.06E-10
